Bus,Name,Type,Iteration,V (pu),Angle (deg),P_inj (pu),Q_inj (pu),P_inj (MW),Q_inj (MVAr)
1,Alan,SL,1,0.98,0.0,1.3799,0.6328,138.0,63.3
2,Betty,PV,1,1.0,-0.34713158404167443,1.9633,2.4585,196.3,245.9
3,Clyde,PQ,1,0.8847534460974634,-5.730982721218966,-0.9025,-0.7555,-90.3,-75.5
4,Doug,PQ,1,0.9101178744056512,-4.241276658990868,-0.9421,-0.7797,-94.2,-78.0
5,Eve,PQ,1,0.9175071844918831,-4.234086949695952,-1.4174,-1.0301,-141.7,-103.0
1,Alan,SL,2,0.98,0.0,1.5966,0.8709,159.7,87.1
2,Betty,PV,2,1.0,-0.4945046816924572,2.1039,2.8140,210.4,281.4
3,Clyde,PQ,2,0.8658680218693152,-6.673240627202984,-1.0922,-0.8476,-109.2,-84.8
4,Doug,PQ,2,0.8955339987112547,-4.764681085200537,-1.0007,-0.9458,-100.1,-94.6
5,Eve,PQ,2,0.9040664389974058,-4.777194433586904,-1.5005,-1.1960,-150.0,-119.6
1,Alan,SL,3,0.98,0.0,1.6071,0.8760,160.7,87.6
2,Betty,PV,3,1.0,-0.5093701626064026,2.1007,2.8241,210.1,282.4
3,Clyde,PQ,3,0.8653610966496875,-6.707741458998754,-1.1000,-0.8500,-110.0,-85.0
4,Doug,PQ,3,0.8951599226987144,-4.7803003012687055,-1.0000,-0.9500,-100.0,-95.0
5,Eve,PQ,3,0.9037279950808538,-4.796667885555775,-1.5000,-1.2000,-150.0,-120.0
1,Alan,SL,4,0.98,0.0,1.6078,0.8759,160.8,87.6
2,Betty,PV,4,1.0,-0.5106620007296624,2.1001,2.8243,210.0,282.4
3,Clyde,PQ,4,0.8653607832415467,-6.7085222519883505,-1.1000,-0.8500,-110.0,-85.0
4,Doug,PQ,4,0.8951595214988609,-4.780866858716199,-1.0000,-0.9500,-100.0,-95.0
5,Eve,PQ,4,0.9037279764326748,-4.797595294304812,-1.5000,-1.2000,-150.0,-120.0
